cat	label	totalWords	totalSentences	avgSentLen	sentLenStdDev	shortSentRatio	longSentRatio	emdash	emdashPer1k	absnoun	nomDensity	epigram	epigramPer1k	isocolon	isocolonPer1k	antithesis	antithesisPer1k	anadiplosis	anadipPer1k	contractionPer1k	firstPersonPer1k	questionRate	transitionPer1k	hedgePer1k	parenPer1k	exclamationRate	semicolonPer1k	colonPer1k
A-human-pre	Gwern-ScalingHypothesis-2020	17503	562	31.1	27.3	8.0	39.7	68	3.9	395	2.26	37	2.1	34	1.9	16	0.9	13	0.7	0.0	5.4	13.7	0.3	2.9	10.9	1.8	3.6	6.3
A-human-pre	Yegge-KingdomNouns-2006	11828	762	15.5	12.5	15.2	9.8	6	0.5	203	1.72	55	4.6	76	6.4	13	1.1	6	0.5	16.7	14.4	4.2	0.6	2.7	10.0	6.2	4.6	15.2
A-human-pre	Ceglowski-WebDesign100-2014	6441	408	15.8	9.0	7.1	7.4	7	1.1	101	1.57	28	4.3	46	7.1	11	1.7	2	0.3	16.5	7.6	2.9	0.2	1.1	0.9	2.9	0.2	2.0
A-human-pre	Swartz-Productivity-2005	5856	287	20.4	13.2	4.5	17.4	0	0.0	80	1.37	19	3.2	26	4.4	8	1.4	5	0.9	0.0	42.5	5.9	0.0	1.2	5.1	2.4	48.7	4.8
B-human-post	DanLuu-CocktailIdeas	6965	210	33.2	19.5	4.8	51.4	2	0.3	139	2.00	7	1.0	14	2.0	7	1.0	1	0.1	18.7	16.9	1.9	0.4	4.2	6.0	1.0	0.6	1.1
B-human-post	DanLuu-SoundsEasy	2114	90	23.5	14.6	7.8	28.9	0	0.0	36	1.70	5	2.4	5	2.4	1	0.5	3	1.4	32.2	16.1	7.8	0.5	3.8	2.4	6.7	0.9	0.5
B-human-post	DanLuu-Moneyball	4088	182	22.5	14.0	7.7	26.9	0	0.0	75	1.83	9	2.2	10	2.4	5	1.2	2	0.5	34.2	28.6	3.8	0.0	1.7	3.9	3.8	0.7	1.0
B-human-post	DrewDeVault-SupplyChain-2022	655	23	28.5	35.5	8.7	30.4	0	0.0	9	1.37	1	1.5	0	0.0	0	0.0	1	1.5	1.5	15.3	17.4	3.1	1.5	6.1	4.3	9.2	76.3
C-ai-co	Anthropic-EffectiveAgents	2763	142	19.5	9.3	3.5	9.2	6	2.2	90	3.26	6	2.2	9	3.3	1	0.4	3	1.1	0.0	0.0	2.1	1.1	1.8	4.7	0.0	11.2	13.4
C-ai-co	Anthropic-SWEBench	2923	121	24.2	19.0	7.4	24.0	3	1.0	95	3.25	8	2.7	10	3.4	6	2.1	5	1.7	0.0	2.1	0.8	1.4	2.1	10.6	1.7	15.4	30.1
C-ai-co	Anthropic-ClaudeCharacter	1748	66	26.5	13.1	0.0	36.4	6	3.4	42	2.40	1	0.6	1	0.6	5	2.9	1	0.6	0.0	8.6	0.0	1.1	4.0	0.0	0.0	4.6	2.3
E-willison	Willison-GitScraping-2020	1224	58	21.1	16.3	17.2	27.6	4	3.3	16	1.31	9	7.4	4	3.3	0	0.0	0	0.0	0.0	24.5	0.0	0.0	0.0	4.9	3.4	3.3	37.6
E-willison	Willison-LLMHierarchies-2022	61	5	12.2	13.3	60.0	20.0	1	16.4	2	3.28	1	16.4	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.4	65.6
E-willison	Willison-ChatGPTAccess-2023	1331	54	24.6	21.7	13.0	29.6	7	5.3	33	2.48	7	5.3	1	0.8	2	1.5	0	0.0	0.0	29.3	0.0	0.0	3.8	1.5	13.0	4.5	27.8
E-willison	Willison-Gemini2Flash-2024	61	5	12.2	13.3	60.0	20.0	1	16.4	2	3.28	1	16.4	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.4	65.6
